Excitation
"Frequency"[Hz]	"FuenteDeTension [dB]"	
2.24150943E+09	-1.31209038E+00	
2.24654088E+09	-1.36054041E+00	
2.25157233E+09	-1.41278946E+00	
2.25660377E+09	-1.46927071E+00	
2.26163522E+09	-1.53037865E+00	
2.26666667E+09	-1.59673754E+00	
2.27169811E+09	-1.66885015E+00	
2.27672956E+09	-1.74743624E+00	
2.28176101E+09	-1.83320133E+00	
2.28679245E+09	-1.92709503E+00	
2.29182390E+09	-2.03017870E+00	
2.29685535E+09	-2.14343541E+00	
2.30188679E+09	-2.26832919E+00	
2.30691824E+09	-2.40648875E+00	
2.31194969E+09	-2.55959015E+00	
2.31698113E+09	-2.72979849E+00	
2.32201258E+09	-2.91959353E+00	
2.32704403E+09	-3.13191030E+00	
2.33207547E+09	-3.37027562E+00	
2.33710692E+09	-3.63854660E+00	
2.34213836E+09	-3.94181803E+00	
2.34716981E+09	-4.28588100E+00	
2.35220126E+09	-4.67788299E+00	
2.35723270E+09	-5.12647808E+00	
2.36226415E+09	-5.64227627E+00	
2.36729560E+09	-6.23929711E+00	
2.37232704E+09	-6.93449170E+00	
2.37735849E+09	-7.75067761E+00	
2.38238994E+09	-8.71975293E+00	
2.38742138E+09	-9.88629372E+00	
2.39245283E+09	-1.13169308E+01	
2.39748428E+09	-1.31242339E+01	
2.40251572E+09	-1.55129159E+01	
2.40754717E+09	-1.89379745E+01	
2.41257862E+09	-2.48331200E+01	
2.41761006E+09	-5.21994977E+01	
2.42264151E+09	-2.51824014E+01	
2.42767296E+09	-1.91352195E+01	
2.43270440E+09	-1.56687922E+01	
2.43773585E+09	-1.32670560E+01	
2.44276730E+09	-1.14565001E+01	
2.44779874E+09	-1.00265112E+01	
2.45283019E+09	-8.86329266E+00	
2.45786164E+09	-7.89810389E+00	
2.46289308E+09	-7.08543929E+00	
2.46792453E+09	-6.39383188E+00	
2.47295597E+09	-5.79995909E+00	
2.47798742E+09	-5.28684478E+00	
2.48301887E+09	-4.84042607E+00	
2.48805031E+09	-4.45013057E+00	
2.49308176E+09	-4.10748812E+00	
2.49811321E+09	-3.80511812E+00	
2.50314465E+09	-3.53749709E+00	
2.50817610E+09	-3.29948939E+00	
2.51320755E+09	-3.08736264E+00	
2.51823899E+09	-2.89752724E+00	
2.52327044E+09	-2.72711602E+00	
2.52830189E+09	-2.57365709E+00	
2.53333333E+09	-2.43521556E+00	
2.53836478E+09	-2.30988192E+00	
2.54339623E+09	-2.19610630E+00	
2.54842767E+09	-2.09264796E+00	
2.55345912E+09	-1.99822782E+00	
2.55849057E+09	-1.91198870E+00	
2.56352201E+09	-1.83291522E+00	
2.56855346E+09	-1.76039493E+00	
2.57358491E+09	-1.69370920E+00	
2.57861635E+09	-1.63217188E+00	
2.58364780E+09	-1.57538314E+00	
2.58867925E+09	-1.52282045E+00	
2.59371069E+09	-1.47415829E+00	
2.59874214E+09	-1.42898338E+00	
2.60377358E+09	-1.38698204E+00	
2.60880503E+09	-1.34786273E+00	
2.61383648E+09	-1.31139931E+00	
2.61886792E+09	-1.27734815E+00	
2.62389937E+09	-1.24546858E+00	
2.62893082E+09	-1.21567546E+00	
2.63396226E+09	-1.18768805E+00	
2.63899371E+09	-1.16142544E+00	
2.64402516E+09	-1.13676451E+00	
2.64905660E+09	-1.11353737E+00	
2.65408805E+09	-1.09167569E+00	
2.65911950E+09	-1.07103631E+00	
2.66415094E+09	-1.05156812E+00	
2.66918239E+09	-1.03315768E+00	
2.67421384E+09	-1.01577031E+00	
2.67924528E+09	-9.99271432E-01	
2.68427673E+09	-9.83648798E-01	
2.68930818E+09	-9.68839681E-01	
2.69433962E+09	-9.54773473E-01	
2.69937107E+09	-9.41387252E-01	
2.70440252E+09	-9.28677353E-01	
2.70943396E+09	-9.16567057E-01	
2.71446541E+09	-9.05065514E-01	
2.71949686E+09	-8.94079420E-01	
2.72452830E+09	-8.83608503E-01	
2.72955975E+09	-8.73600581E-01	
2.73459119E+09	-8.64060572E-01	
2.73962264E+09	-8.54940595E-01	
2.74465409E+09	-8.46223670E-01	
2.74968553E+09	-8.37870375E-01	
2.75471698E+09	-8.29885574E-01	
2.75974843E+09	-8.22221026E-01	
2.76477987E+09	-8.14877540E-01	
2.76981132E+09	-8.07853171E-01	
2.77484277E+09	-8.01101939E-01	
2.77987421E+09	-7.94628504E-01	
2.78490566E+09	-7.88403927E-01	
2.78993711E+09	-7.82420489E-01	
2.79496855E+09	-7.76676762E-01	
2.80000000E+09	-7.71164474E-01	
